subj,RT,cond,type,confresponse
103,1.8746999502182007,faces,1,4
103,0.6680999994277954,faces,2,1
103,1.1085000038146973,faces,2,1
103,1.0246000289916992,faces,2,1
103,1.142899990081787,faces,1,4
103,1.2251999378204346,faces,1,4
103,1.361899971961975,faces,2,4
103,0.9290000200271606,faces,2,1
103,0.7627999782562256,faces,2,1
103,0.7145999670028687,faces,1,4
103,1.2163000106811523,faces,1,4
103,0.7479000091552734,faces,2,1
103,1.0435999631881714,faces,1,1
103,0.5857000350952148,faces,1,4
103,0.605400025844574,faces,2,4
103,0.6650000214576721,faces,1,1
103,0.4017000198364258,faces,1,4
103,0.4413999915122986,faces,2,1
103,1.7171999216079712,faces,2,4
103,1.1456999778747559,faces,1,1
103,0.6622000336647034,faces,2,1
103,0.6669000387191772,faces,1,4
103,0.6415999531745911,faces,1,4
103,0.6144000291824341,faces,2,1
103,0.9384000301361084,faces,1,1
103,0.7580999732017517,faces,1,4
103,1.0214999914169312,faces,2,4
103,1.6013000011444092,faces,2,4
103,1.8249000310897827,faces,1,4
103,0.6504000425338745,faces,2,4
103,0.6827999949455261,faces,1,4
103,0.6184999942779541,faces,2,4
103,0.605400025844574,faces,1,4
103,0.6454000473022461,faces,2,4
103,0.6642000079154968,faces,2,1
103,1.0532000064849854,faces,1,4
103,3.2391998767852783,words,1,1
103,1.2745000123977661,words,2,1
103,0.7449000477790833,words,1,4
103,0.6057000160217285,words,1,1
103,0.6109000444412231,words,2,1
103,0.7594000101089478,words,1,4
103,0.737500011920929,words,1,4
103,0.6759000420570374,words,2,1
103,0.670799970626831,words,2,1
103,0.7213000059127808,words,1,1
103,0.6222000122070312,words,1,1
103,0.614300012588501,words,1,4
103,0.6639000177383423,words,2,4
103,0.6660999655723572,words,2,1
103,0.7409999966621399,words,2,4
103,0.773900032043457,words,1,4
103,0.6092000007629395,words,2,1
103,0.3747999966144562,words,2,1
103,0.5544999837875366,words,1,1
103,0.2847000062465668,words,1,4
103,0.6126999855041504,words,1,1
103,0.836899995803833,words,1,1
103,0.6601999998092651,words,2,1
103,0.8119999766349792,words,2,1
103,0.47870001196861267,words,1,4
103,0.5409000515937805,words,1,1
103,0.5454999804496765,words,2,4
103,0.9174000024795532,words,1,4
103,0.3862000107765198,words,2,1
103,0.7289000153541565,words,1,1
103,1.030500054359436,words,1,1
103,0.4124000072479248,words,2,4
103,0.33410000801086426,words,1,1
103,0.559499979019165,words,2,4
103,1.326200008392334,words,2,1
103,0.9751999974250793,words,2,1
103,0.5795000195503235,words,2,1
103,0.7522000074386597,words,1,1
103,1.9308000802993774,words,2,4
103,0.8968999981880188,words,1,4
103,0.9502999782562256,words,1,4
103,0.7990000247955322,words,2,1
103,0.5099999904632568,words,2,4
103,2.1003000736236572,words,2,1
103,0.7940999865531921,words,2,1
103,0.8299000263214111,words,1,1
103,0.7925000190734863,words,2,4
103,0.5037999749183655,words,1,1
103,1.6708000898361206,faces,1,1
103,0.7295999526977539,faces,1,1
103,0.8755999803543091,faces,2,1
103,0.6850999593734741,faces,2,1
103,1.1816999912261963,faces,2,4
103,0.6402999758720398,faces,2,1
103,3.8587000370025635,faces,2,4
103,0.8964999914169312,faces,1,1
103,0.6998000144958496,faces,1,1
103,0.8183000087738037,faces,2,4
103,1.680400013923645,faces,2,4
103,0.6514999866485596,faces,2,1
103,0.5414999723434448,faces,1,4
103,0.46149998903274536,faces,2,1
103,0.5789000391960144,faces,1,4
103,1.340000033378601,faces,2,1
103,0.9042999744415283,faces,2,1
103,0.7272000312805176,faces,2,1
103,0.8137999773025513,faces,2,4
103,1.2444000244140625,faces,2,4
103,0.8154000043869019,faces,1,4
103,1.0756999254226685,faces,2,4
103,0.8122000098228455,faces,1,4
103,0.7322999835014343,faces,1,4
103,0.9857000112533569,faces,2,1
103,0.8808000087738037,faces,1,1
103,0.8234999775886536,faces,1,1
103,0.9447999596595764,faces,1,4
103,0.8594000339508057,faces,2,1
103,0.8794999718666077,faces,2,1
103,0.8065000176429749,faces,2,4
103,1.1891999244689941,faces,1,4
103,0.996399998664856,faces,2,1
103,0.8531000018119812,faces,1,4
103,1.0698000192642212,faces,2,4
103,0.875,faces,1,1
103,1.061900019645691,faces,2,4
103,0.8870000243186951,faces,1,4
103,1.0202000141143799,faces,1,4
103,0.5814999938011169,faces,1,1
103,0.40870001912117004,faces,1,4
103,0.24220000207424164,faces,2,99
103,0.3432999849319458,faces,1,1
103,0.9400999546051025,faces,2,4
103,0.5929000377655029,faces,1,1
103,0.48750001192092896,faces,1,4
103,0.2542000114917755,faces,1,99
103,0.3912000060081482,faces,1,1
103,2.9998998641967773,words,1,4
